Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Occurrence Year,Occurrence Month,Occurrence Hour
4660,,2020-07-13 03:00:00,13-07-2020 15:02,Patna,158,TRAFFIC VIOLATION,29,M,Unknown,Traffic Fatality,2,No,,2020,7,
4661,,2020-07-13 04:00:00,13-07-2020 17:42,Pune,265,KIDNAPPING,57,M,Poison,Other Crime,13,Yes,2020-09-11 23:00:00,2020,7,
4662,,2020-07-13 05:00:00,13-07-2020 13:57,Ghaziabad,458,IDENTITY THEFT,78,M,Firearm,Violent Crime,5,Yes,2020-09-25 23:00:00,2020,7,
4663,,2020-07-13 06:00:00,13-07-2020 06:22,Mumbai,552,VANDALISM,14,F,Blunt Object,Other Crime,5,No,,2020,7,
4664,,2020-07-13 07:00:00,13-07-2020 13:03,Hyderabad,180,IDENTITY THEFT,37,F,Explosives,Violent Crime,12,No,,2020,7,
4665,,2020-07-13 08:00:00,13-07-2020 19:11,Indore,150,VEHICLE - STOLEN,37,M,Firearm,Violent Crime,8,Yes,2020-09-13 05:00:00,2020,7,
4666,,2020-07-13 09:00:00,14-07-2020 01:24,Ahmedabad,243,ASSAULT,15,F,Unknown,Violent Crime,14,No,,2020,7,
4667,,2020-07-13 10:00:00,13-07-2020 14:30,Srinagar,381,HOMICIDE,70,F,Knife,Other Crime,10,Yes,2021-10-05 02:00:00,2020,7,
4668,,2020-07-13 11:00:00,14-07-2020 10:21,Ghaziabad,526,ROBBERY,42,F,Blunt Object,Violent Crime,10,Yes,2020-11-10 23:00:00,2020,7,
4669,,2020-07-13 12:00:00,14-07-2020 01:40,Bhopal,439,KIDNAPPING,23,M,Other,Other Crime,11,Yes,2020-09-06 19:00:00,2020,7,
4670,,2020-07-13 13:00:00,13-07-2020 21:45,Chennai,191,FRAUD,31,M,Other,Other Crime,14,Yes,2020-08-15 07:00:00,2020,7,
4671,,2020-07-13 14:00:00,14-07-2020 01:21,Delhi,433,HOMICIDE,28,F,Other,Other Crime,15,Yes,2021-10-09 08:00:00,2020,7,
4672,,2020-07-13 15:00:00,13-07-2020 22:35,Surat,455,FIREARM OFFENSE,27,M,Blunt Object,Fire Accident,14,Yes,2020-08-31 01:00:00,2020,7,
4673,,2020-07-13 16:00:00,13-07-2020 23:24,Lucknow,526,ROBBERY,10,M,Explosives,Violent Crime,11,No,,2020,7,
4674,,2020-07-13 17:00:00,13-07-2020 20:55,Delhi,509,FRAUD,29,M,Blunt Object,Other Crime,7,No,,2020,7,
4675,,2020-07-13 18:00:00,14-07-2020 17:54,Varanasi,157,FIREARM OFFENSE,48,F,Other,Fire Accident,15,No,,2020,7,
4676,,2020-07-13 19:00:00,14-07-2020 16:03,Meerut,346,DOMESTIC VIOLENCE,79,M,Knife,Violent Crime,14,Yes,2020-10-06 20:00:00,2020,7,
4677,,2020-07-13 20:00:00,14-07-2020 16:50,Ahmedabad,209,FRAUD,43,M,Blunt Object,Other Crime,13,No,,2020,7,
4678,,2020-07-13 21:00:00,14-07-2020 07:59,Chennai,414,EXTORTION,65,M,Unknown,Other Crime,14,No,,2020,7,
4679,,2020-07-13 22:00:00,14-07-2020 03:19,Delhi,373,VEHICLE - STOLEN,60,F,Blunt Object,Violent Crime,11,Yes,2020-07-23 09:00:00,2020,7,
4680,,2020-07-13 23:00:00,14-07-2020 19:25,Agra,471,TRAFFIC VIOLATION,16,M,Blunt Object,Traffic Fatality,14,No,,2020,7,
4681,,2020-07-14 00:00:00,14-07-2020 15:06,Bangalore,473,COUNTERFEITING,77,F,Unknown,Other Crime,17,Yes,2020-09-03 00:00:00,2020,7,
4682,,2020-07-14 01:00:00,14-07-2020 05:48,Chennai,450,EXTORTION,36,F,Firearm,Other Crime,16,Yes,2020-09-16 23:00:00,2020,7,
4683,,2020-07-14 02:00:00,14-07-2020 07:30,Bangalore,259,SEXUAL ASSAULT,48,M,Firearm,Violent Crime,2,Yes,2021-11-17 08:00:00,2020,7,
4684,,2020-07-14 03:00:00,14-07-2020 06:20,Mumbai,137,SEXUAL ASSAULT,59,M,Explosives,Violent Crime,12,No,,2020,7,
4685,,2020-07-14 04:00:00,14-07-2020 10:15,Delhi,598,KIDNAPPING,29,F,Unknown,Other Crime,19,No,,2020,7,
4686,,2020-07-14 05:00:00,14-07-2020 15:45,Surat,212,ARSON,15,F,Blunt Object,Fire Accident,8,Yes,2020-09-09 16:00:00,2020,7,
4687,,2020-07-14 06:00:00,15-07-2020 04:11,Meerut,456,ROBBERY,51,F,Knife,Violent Crime,14,No,,2020,7,
4688,,2020-07-14 07:00:00,14-07-2020 18:35,Bangalore,114,FIREARM OFFENSE,79,F,Knife,Fire Accident,12,Yes,2020-09-23 22:00:00,2020,7,
4689,,2020-07-14 08:00:00,14-07-2020 22:19,Kolkata,374,COUNTERFEITING,50,M,Knife,Other Crime,13,Yes,2020-07-31 09:00:00,2020,7,
4690,,2020-07-14 09:00:00,15-07-2020 01:29,Delhi,542,ILLEGAL POSSESSION,43,F,Firearm,Other Crime,1,No,,2020,7,
4691,,2020-07-14 10:00:00,15-07-2020 01:01,Delhi,352,TRAFFIC VIOLATION,51,F,Blunt Object,Traffic Fatality,19,No,,2020,7,
4692,,2020-07-14 11:00:00,15-07-2020 10:53,Mumbai,529,BURGLARY,22,F,Blunt Object,Other Crime,5,No,,2020,7,
4693,,2020-07-14 12:00:00,15-07-2020 02:47,Mumbai,557,BURGLARY,61,M,Knife,Other Crime,2,No,,2020,7,
4694,,2020-07-14 13:00:00,15-07-2020 00:47,Mumbai,552,ROBBERY,71,F,Unknown,Violent Crime,6,No,,2020,7,
4695,,2020-07-14 14:00:00,14-07-2020 17:08,Surat,325,ROBBERY,45,F,Knife,Violent Crime,14,No,,2020,7,
4696,,2020-07-14 15:00:00,15-07-2020 06:41,Ahmedabad,300,DOMESTIC VIOLENCE,29,F,Unknown,Violent Crime,15,No,,2020,7,
4697,,2020-07-14 16:00:00,15-07-2020 00:55,Delhi,108,TRAFFIC VIOLATION,39,F,Poison,Traffic Fatality,10,No,,2020,7,
4698,,2020-07-14 17:00:00,15-07-2020 13:00,Mumbai,168,KIDNAPPING,69,F,Poison,Other Crime,12,Yes,2020-08-02 10:00:00,2020,7,
4699,,2020-07-14 18:00:00,15-07-2020 03:19,Lucknow,204,SHOPLIFTING,38,M,Firearm,Other Crime,13,Yes,2020-08-30 01:00:00,2020,7,
4700,,2020-07-14 19:00:00,15-07-2020 08:37,Lucknow,130,ILLEGAL POSSESSION,31,F,Other,Other Crime,7,No,,2020,7,
4701,,2020-07-14 20:00:00,14-07-2020 22:23,Srinagar,435,ILLEGAL POSSESSION,47,F,Blunt Object,Other Crime,5,Yes,2020-09-30 14:00:00,2020,7,
4702,,2020-07-14 21:00:00,15-07-2020 07:23,Delhi,113,BURGLARY,27,M,Poison,Other Crime,7,No,,2020,7,
4703,,2020-07-14 22:00:00,15-07-2020 03:42,Bhopal,462,PUBLIC INTOXICATION,69,F,Firearm,Other Crime,1,No,,2020,7,
4704,,2020-07-14 23:00:00,15-07-2020 18:26,Ahmedabad,176,VEHICLE - STOLEN,18,M,Blunt Object,Violent Crime,2,Yes,2020-09-25 04:00:00,2020,7,
4705,,2020-07-15 00:00:00,15-07-2020 01:59,Hyderabad,267,HOMICIDE,17,F,Knife,Other Crime,15,No,,2020,7,
4706,,2020-07-15 01:00:00,15-07-2020 08:12,Mumbai,150,ASSAULT,23,F,Unknown,Violent Crime,18,Yes,2020-08-08 08:00:00,2020,7,
4707,,2020-07-15 02:00:00,15-07-2020 09:46,Bangalore,189,HOMICIDE,61,M,Blunt Object,Other Crime,5,No,,2020,7,
4708,,2020-07-15 03:00:00,15-07-2020 13:39,Bangalore,233,VANDALISM,76,F,Blunt Object,Other Crime,18,No,,2020,7,
4709,,2020-07-15 04:00:00,16-07-2020 00:40,Surat,456,CYBERCRIME,30,F,Unknown,Other Crime,14,Yes,2020-08-26 14:00:00,2020,7,
4710,,2020-07-15 05:00:00,16-07-2020 03:12,Ghaziabad,495,CYBERCRIME,58,M,Explosives,Other Crime,19,No,,2020,7,
4711,,2020-07-15 06:00:00,16-07-2020 03:32,Jaipur,183,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,9,No,,2020,7,
4712,,2020-07-15 07:00:00,16-07-2020 05:25,Delhi,537,CYBERCRIME,53,F,Other,Other Crime,10,No,,2020,7,
4713,,2020-07-15 08:00:00,15-07-2020 16:32,Surat,587,ILLEGAL POSSESSION,38,F,Blunt Object,Other Crime,2,No,,2020,7,
4714,,2020-07-15 09:00:00,15-07-2020 12:19,Nashik,401,EXTORTION,18,F,Firearm,Other Crime,4,No,,2020,7,
4715,,2020-07-15 10:00:00,15-07-2020 14:03,Ghaziabad,430,COUNTERFEITING,28,M,Firearm,Other Crime,8,Yes,2020-10-09 23:00:00,2020,7,
4716,,2020-07-15 11:00:00,16-07-2020 07:21,Mumbai,308,FIREARM OFFENSE,79,F,Firearm,Fire Accident,4,No,,2020,7,
4717,,2020-07-15 12:00:00,15-07-2020 22:06,Hyderabad,536,CYBERCRIME,64,M,Poison,Other Crime,18,No,,2020,7,
4718,,2020-07-15 13:00:00,15-07-2020 22:03,Vasai,110,HOMICIDE,20,F,Unknown,Other Crime,3,Yes,2021-12-16 21:00:00,2020,7,
4719,,2020-07-15 14:00:00,16-07-2020 05:14,Meerut,412,TRAFFIC VIOLATION,56,F,Explosives,Traffic Fatality,19,Yes,2020-08-13 09:00:00,2020,7,
4720,,2020-07-15 15:00:00,16-07-2020 12:41,Chennai,353,DRUG OFFENSE,76,F,Blunt Object,Other Crime,3,No,,2020,7,
4721,,2020-07-15 16:00:00,15-07-2020 22:00,Pune,586,IDENTITY THEFT,17,M,Other,Violent Crime,9,Yes,2020-09-04 18:00:00,2020,7,
4722,,2020-07-15 17:00:00,16-07-2020 01:00,Indore,386,FRAUD,66,F,Firearm,Other Crime,1,No,,2020,7,
4723,,2020-07-15 18:00:00,16-07-2020 14:12,Nashik,449,IDENTITY THEFT,37,M,Poison,Violent Crime,19,Yes,2020-08-15 23:00:00,2020,7,
4724,,2020-07-15 19:00:00,16-07-2020 01:41,Delhi,335,IDENTITY THEFT,62,F,Firearm,Violent Crime,10,Yes,2020-08-13 17:00:00,2020,7,
4725,,2020-07-15 20:00:00,16-07-2020 18:24,Chennai,410,FIREARM OFFENSE,25,M,Blunt Object,Fire Accident,17,No,,2020,7,
4726,,2020-07-15 21:00:00,16-07-2020 08:15,Hyderabad,292,PUBLIC INTOXICATION,70,F,Firearm,Other Crime,5,No,,2020,7,
4727,,2020-07-15 22:00:00,15-07-2020 22:52,Delhi,311,DRUG OFFENSE,24,M,Explosives,Other Crime,5,No,,2020,7,
4728,,2020-07-15 23:00:00,16-07-2020 04:09,Mumbai,175,KIDNAPPING,33,F,Poison,Other Crime,2,Yes,2020-08-30 04:00:00,2020,7,
4729,,2020-07-16 00:00:00,16-07-2020 22:02,Faridabad,577,ARSON,55,M,Firearm,Fire Accident,9,No,,2020,7,
4730,,2020-07-16 01:00:00,16-07-2020 10:32,Patna,570,BURGLARY,57,F,Blunt Object,Other Crime,18,No,,2020,7,
4731,,2020-07-16 02:00:00,16-07-2020 06:55,Delhi,480,SHOPLIFTING,37,F,Unknown,Other Crime,3,Yes,2020-08-05 03:00:00,2020,7,
4732,,2020-07-16 03:00:00,16-07-2020 16:43,Visakhapatnam,530,VANDALISM,72,F,Knife,Other Crime,9,No,,2020,7,
4733,,2020-07-16 04:00:00,16-07-2020 12:04,Ludhiana,281,FRAUD,47,F,Firearm,Other Crime,15,No,,2020,7,
4734,,2020-07-16 05:00:00,16-07-2020 22:04,Delhi,590,DRUG OFFENSE,72,M,Unknown,Other Crime,6,No,,2020,7,
4735,,2020-07-16 06:00:00,16-07-2020 07:29,Delhi,115,ARSON,66,F,Knife,Fire Accident,6,No,,2020,7,
4736,,2020-07-16 07:00:00,16-07-2020 09:52,Delhi,166,DOMESTIC VIOLENCE,29,M,Other,Violent Crime,19,No,,2020,7,
4737,,2020-07-16 08:00:00,16-07-2020 19:05,Bangalore,196,PUBLIC INTOXICATION,78,F,Blunt Object,Other Crime,2,Yes,2020-07-24 16:00:00,2020,7,
4738,,2020-07-16 09:00:00,16-07-2020 16:03,Nagpur,274,SEXUAL ASSAULT,21,F,Poison,Violent Crime,11,No,,2020,7,
4739,,2020-07-16 10:00:00,17-07-2020 01:33,Jaipur,468,KIDNAPPING,35,M,Firearm,Other Crime,15,No,,2020,7,
4740,,2020-07-16 11:00:00,17-07-2020 10:30,Vasai,545,HOMICIDE,28,F,Knife,Other Crime,6,Yes,2021-05-22 21:00:00,2020,7,
4741,,2020-07-16 12:00:00,16-07-2020 20:38,Varanasi,260,PUBLIC INTOXICATION,21,M,Firearm,Other Crime,2,No,,2020,7,
4742,,2020-07-16 13:00:00,17-07-2020 07:09,Thane,464,TRAFFIC VIOLATION,40,F,Knife,Traffic Fatality,4,Yes,2020-07-22 12:00:00,2020,7,
4743,,2020-07-16 14:00:00,17-07-2020 07:05,Indore,163,DOMESTIC VIOLENCE,38,F,Firearm,Violent Crime,17,No,,2020,7,
4744,,2020-07-16 15:00:00,17-07-2020 08:52,Bangalore,377,PUBLIC INTOXICATION,62,F,Firearm,Other Crime,3,Yes,2020-08-12 05:00:00,2020,7,
4745,,2020-07-16 16:00:00,17-07-2020 13:39,Kolkata,454,PUBLIC INTOXICATION,57,F,Unknown,Other Crime,14,Yes,2020-07-26 23:00:00,2020,7,
4746,,2020-07-16 17:00:00,17-07-2020 06:24,Nagpur,197,FRAUD,70,F,Knife,Other Crime,13,Yes,2020-10-04 09:00:00,2020,7,
4747,,2020-07-16 18:00:00,16-07-2020 19:39,Mumbai,314,ILLEGAL POSSESSION,66,F,Poison,Other Crime,19,Yes,2020-07-26 13:00:00,2020,7,
4748,,2020-07-16 19:00:00,17-07-2020 08:59,Kolkata,426,ARSON,19,F,Blunt Object,Fire Accident,13,No,,2020,7,
4749,,2020-07-16 20:00:00,17-07-2020 12:15,Delhi,487,DRUG OFFENSE,35,M,Blunt Object,Other Crime,10,No,,2020,7,
4750,,2020-07-16 21:00:00,16-07-2020 21:42,Visakhapatnam,345,FIREARM OFFENSE,67,M,Firearm,Fire Accident,11,No,,2020,7,
4751,,2020-07-16 22:00:00,17-07-2020 10:30,Nagpur,540,DRUG OFFENSE,16,M,Explosives,Other Crime,14,No,,2020,7,
4752,,2020-07-16 23:00:00,17-07-2020 06:25,Lucknow,453,DOMESTIC VIOLENCE,27,M,Firearm,Violent Crime,7,No,,2020,7,
4753,,2020-07-17 00:00:00,17-07-2020 02:32,Chennai,314,FIREARM OFFENSE,66,M,Knife,Fire Accident,18,No,,2020,7,
4754,,2020-07-17 01:00:00,17-07-2020 21:01,Chennai,597,ARSON,54,F,Poison,Fire Accident,12,No,,2020,7,
4755,,2020-07-17 02:00:00,17-07-2020 22:01,Delhi,564,FIREARM OFFENSE,70,F,Unknown,Fire Accident,9,Yes,2020-09-23 08:00:00,2020,7,
4756,,2020-07-17 03:00:00,17-07-2020 18:25,Ahmedabad,523,ARSON,17,F,Explosives,Fire Accident,17,No,,2020,7,
4757,,2020-07-17 04:00:00,17-07-2020 14:15,Ahmedabad,136,COUNTERFEITING,75,F,Unknown,Other Crime,18,No,,2020,7,
4758,,2020-07-17 05:00:00,17-07-2020 06:28,Chennai,582,PUBLIC INTOXICATION,17,M,Unknown,Other Crime,13,No,,2020,7,
4759,,2020-07-17 06:00:00,17-07-2020 22:43,Pune,148,ARSON,63,M,Firearm,Fire Accident,7,Yes,2020-09-20 20:00:00,2020,7,
4760,,2020-07-17 07:00:00,17-07-2020 14:11,Nashik,592,DOMESTIC VIOLENCE,50,F,Poison,Violent Crime,10,No,,2020,7,
4761,,2020-07-17 08:00:00,17-07-2020 17:46,Mumbai,150,KIDNAPPING,61,F,Knife,Other Crime,3,Yes,2020-08-22 16:00:00,2020,7,
4762,,2020-07-17 09:00:00,18-07-2020 01:31,Nashik,158,VEHICLE - STOLEN,35,F,Knife,Violent Crime,13,No,,2020,7,
4763,,2020-07-17 10:00:00,17-07-2020 17:39,Mumbai,255,ILLEGAL POSSESSION,60,F,Knife,Other Crime,2,No,,2020,7,
4764,,2020-07-17 11:00:00,17-07-2020 21:28,Ludhiana,443,CYBERCRIME,15,F,Blunt Object,Other Crime,18,Yes,2020-09-19 09:00:00,2020,7,
4765,,2020-07-17 12:00:00,17-07-2020 17:22,Delhi,515,COUNTERFEITING,37,F,Knife,Other Crime,8,No,,2020,7,
4766,,2020-07-17 13:00:00,18-07-2020 02:55,Varanasi,588,ILLEGAL POSSESSION,62,F,Firearm,Other Crime,9,No,,2020,7,
4767,,2020-07-17 14:00:00,17-07-2020 23:53,Hyderabad,468,ROBBERY,34,F,Firearm,Violent Crime,19,No,,2020,7,
4768,,2020-07-17 15:00:00,18-07-2020 08:28,Chennai,136,ARSON,15,F,Firearm,Fire Accident,11,No,,2020,7,
4769,,2020-07-17 16:00:00,18-07-2020 02:03,Chennai,422,HOMICIDE,44,F,Firearm,Other Crime,8,No,,2020,7,
4770,,2020-07-17 17:00:00,18-07-2020 13:51,Bangalore,305,DOMESTIC VIOLENCE,31,F,Other,Violent Crime,9,Yes,2020-09-01 04:00:00,2020,7,
4771,,2020-07-17 18:00:00,18-07-2020 07:58,Varanasi,138,ROBBERY,35,M,Other,Violent Crime,6,Yes,2020-12-12 02:00:00,2020,7,
4772,,2020-07-17 19:00:00,18-07-2020 12:56,Hyderabad,119,ARSON,13,F,Explosives,Fire Accident,2,Yes,2020-08-22 05:00:00,2020,7,
4773,,2020-07-17 20:00:00,18-07-2020 13:13,Chennai,101,DOMESTIC VIOLENCE,39,M,Knife,Violent Crime,7,No,,2020,7,
4774,,2020-07-17 21:00:00,17-07-2020 22:43,Chennai,175,VEHICLE - STOLEN,38,F,Firearm,Violent Crime,10,No,,2020,7,
4775,,2020-07-17 22:00:00,18-07-2020 10:51,Ghaziabad,143,ASSAULT,16,F,Knife,Violent Crime,19,No,,2020,7,
4776,,2020-07-17 23:00:00,18-07-2020 18:45,Kolkata,498,ASSAULT,51,F,Other,Violent Crime,18,No,,2020,7,
4777,,2020-07-18 00:00:00,18-07-2020 14:12,Hyderabad,198,EXTORTION,40,M,Poison,Other Crime,9,Yes,2020-08-02 14:00:00,2020,7,
4778,,2020-07-18 01:00:00,18-07-2020 18:19,Thane,231,BURGLARY,46,F,Firearm,Other Crime,3,No,,2020,7,
4779,,2020-07-18 02:00:00,19-07-2020 00:41,Indore,457,ASSAULT,20,F,Firearm,Violent Crime,16,Yes,2020-09-17 20:00:00,2020,7,
4780,,2020-07-18 03:00:00,18-07-2020 05:52,Patna,229,ASSAULT,24,F,Explosives,Violent Crime,10,Yes,2020-07-28 04:00:00,2020,7,
4781,,2020-07-18 04:00:00,19-07-2020 03:37,Kolkata,198,DOMESTIC VIOLENCE,41,M,Firearm,Violent Crime,6,No,,2020,7,
4782,,2020-07-18 05:00:00,18-07-2020 15:04,Bangalore,165,PUBLIC INTOXICATION,62,F,Firearm,Other Crime,4,Yes,2020-08-11 15:00:00,2020,7,
4783,,2020-07-18 06:00:00,18-07-2020 21:31,Chennai,481,SHOPLIFTING,52,F,Unknown,Other Crime,1,Yes,2020-09-10 14:00:00,2020,7,
4784,,2020-07-18 07:00:00,18-07-2020 21:45,Delhi,295,KIDNAPPING,22,F,Firearm,Other Crime,15,No,,2020,7,
4785,,2020-07-18 08:00:00,18-07-2020 16:42,Indore,399,TRAFFIC VIOLATION,59,M,Knife,Traffic Fatality,5,Yes,2020-08-08 04:00:00,2020,7,
4786,,2020-07-18 09:00:00,18-07-2020 14:34,Bhopal,348,KIDNAPPING,31,M,Poison,Other Crime,7,Yes,2020-10-01 14:00:00,2020,7,
4787,,2020-07-18 10:00:00,18-07-2020 19:33,Chennai,362,VEHICLE - STOLEN,41,M,Other,Violent Crime,14,Yes,2020-08-21 04:00:00,2020,7,
4788,,2020-07-18 11:00:00,19-07-2020 03:06,Jaipur,581,TRAFFIC VIOLATION,13,M,Unknown,Traffic Fatality,19,No,,2020,7,
4789,,2020-07-18 12:00:00,18-07-2020 12:51,Mumbai,483,TRAFFIC VIOLATION,40,F,Poison,Traffic Fatality,14,No,,2020,7,
4790,,2020-07-18 13:00:00,18-07-2020 22:52,Chennai,349,COUNTERFEITING,19,F,Blunt Object,Other Crime,4,No,,2020,7,
4791,,2020-07-18 14:00:00,18-07-2020 18:28,Mumbai,190,TRAFFIC VIOLATION,57,F,Firearm,Traffic Fatality,7,No,,2020,7,
4792,,2020-07-18 15:00:00,18-07-2020 20:04,Hyderabad,234,DOMESTIC VIOLENCE,36,F,Poison,Violent Crime,12,No,,2020,7,
4793,,2020-07-18 16:00:00,18-07-2020 20:27,Chennai,334,BURGLARY,76,F,Blunt Object,Other Crime,6,No,,2020,7,
4794,,2020-07-18 17:00:00,19-07-2020 08:58,Patna,468,EXTORTION,30,F,Firearm,Other Crime,16,No,,2020,7,
4795,,2020-07-18 18:00:00,19-07-2020 16:10,Mumbai,472,HOMICIDE,59,M,Poison,Other Crime,5,No,,2020,7,
4796,,2020-07-18 19:00:00,19-07-2020 08:01,Lucknow,552,VANDALISM,15,M,Unknown,Other Crime,13,Yes,2020-07-28 22:00:00,2020,7,
4797,,2020-07-18 20:00:00,19-07-2020 11:48,Surat,518,DOMESTIC VIOLENCE,31,F,Unknown,Violent Crime,19,No,,2020,7,
4798,,2020-07-18 21:00:00,19-07-2020 01:59,Bangalore,180,HOMICIDE,24,M,Other,Other Crime,13,Yes,2021-08-13 00:00:00,2020,7,
4799,,2020-07-18 22:00:00,19-07-2020 11:43,Ahmedabad,134,VANDALISM,74,F,Explosives,Other Crime,10,No,,2020,7,
4800,,2020-07-18 23:00:00,19-07-2020 10:55,Chennai,517,IDENTITY THEFT,42,F,Other,Violent Crime,4,Yes,2020-08-09 01:00:00,2020,7,
4801,,2020-07-19 00:00:00,19-07-2020 01:18,Bangalore,187,CYBERCRIME,24,M,Other,Other Crime,10,No,,2020,7,
4802,,2020-07-19 01:00:00,19-07-2020 07:23,Mumbai,142,HOMICIDE,27,F,Other,Other Crime,19,Yes,2021-01-20 22:00:00,2020,7,
4803,,2020-07-19 02:00:00,19-07-2020 04:05,Kolkata,487,ROBBERY,31,M,Firearm,Violent Crime,1,No,,2020,7,
4804,,2020-07-19 03:00:00,20-07-2020 02:45,Bangalore,305,COUNTERFEITING,52,M,Knife,Other Crime,13,Yes,2020-10-15 05:00:00,2020,7,
4805,,2020-07-19 04:00:00,19-07-2020 06:57,Lucknow,303,ROBBERY,13,M,Poison,Violent Crime,15,No,,2020,7,
4806,,2020-07-19 05:00:00,19-07-2020 16:23,Ahmedabad,524,TRAFFIC VIOLATION,13,M,Poison,Traffic Fatality,16,Yes,2020-08-18 05:00:00,2020,7,
4807,,2020-07-19 06:00:00,19-07-2020 12:05,Delhi,150,BURGLARY,16,F,Poison,Other Crime,9,No,,2020,7,
4808,,2020-07-19 07:00:00,19-07-2020 22:11,Varanasi,467,BURGLARY,12,F,Blunt Object,Other Crime,14,No,,2020,7,
4809,,2020-07-19 08:00:00,19-07-2020 16:16,Delhi,419,PUBLIC INTOXICATION,46,F,Knife,Other Crime,9,No,,2020,7,
4810,,2020-07-19 09:00:00,19-07-2020 11:41,Bangalore,489,HOMICIDE,45,M,Firearm,Other Crime,8,Yes,2021-07-01 10:00:00,2020,7,
4811,,2020-07-19 10:00:00,19-07-2020 13:19,Delhi,483,IDENTITY THEFT,48,F,Other,Violent Crime,2,Yes,2020-08-01 14:00:00,2020,7,
4812,,2020-07-19 11:00:00,19-07-2020 19:25,Hyderabad,455,FRAUD,39,F,Blunt Object,Other Crime,1,Yes,2020-10-02 13:00:00,2020,7,
4813,,2020-07-19 12:00:00,19-07-2020 17:47,Mumbai,361,ARSON,21,F,Firearm,Fire Accident,1,No,,2020,7,
4814,,2020-07-19 13:00:00,19-07-2020 14:18,Delhi,261,ROBBERY,30,F,Poison,Violent Crime,17,Yes,2021-01-04 00:00:00,2020,7,
4815,,2020-07-19 14:00:00,20-07-2020 11:05,Chennai,301,SHOPLIFTING,43,M,Firearm,Other Crime,10,No,,2020,7,
4816,,2020-07-19 15:00:00,20-07-2020 03:44,Bangalore,491,PUBLIC INTOXICATION,69,F,Knife,Other Crime,18,No,,2020,7,
4817,,2020-07-19 16:00:00,20-07-2020 03:43,Kolkata,114,BURGLARY,22,F,Firearm,Other Crime,11,No,,2020,7,
4818,,2020-07-19 17:00:00,20-07-2020 16:21,Varanasi,264,TRAFFIC VIOLATION,26,M,Knife,Traffic Fatality,9,Yes,2020-08-07 20:00:00,2020,7,
4819,,2020-07-19 18:00:00,20-07-2020 04:15,Thane,426,IDENTITY THEFT,68,M,Knife,Violent Crime,14,No,,2020,7,
4820,,2020-07-19 19:00:00,20-07-2020 17:45,Kalyan,217,FIREARM OFFENSE,49,M,Poison,Fire Accident,18,No,,2020,7,
4821,,2020-07-19 20:00:00,20-07-2020 07:17,Ludhiana,248,ROBBERY,24,F,Blunt Object,Violent Crime,8,No,,2020,7,
4822,,2020-07-19 21:00:00,20-07-2020 12:22,Chennai,264,HOMICIDE,27,M,Other,Other Crime,16,No,,2020,7,
4823,,2020-07-19 22:00:00,20-07-2020 02:50,Mumbai,496,KIDNAPPING,13,M,Firearm,Other Crime,16,No,,2020,7,
4824,,2020-07-19 23:00:00,20-07-2020 07:08,Meerut,450,SEXUAL ASSAULT,25,M,Explosives,Violent Crime,1,No,,2020,7,
4825,,2020-07-20 00:00:00,20-07-2020 11:59,Bangalore,520,ARSON,76,M,Other,Fire Accident,10,No,,2020,7,
4826,,2020-07-20 01:00:00,20-07-2020 01:31,Ahmedabad,173,BURGLARY,32,M,Unknown,Other Crime,7,No,,2020,7,
4827,,2020-07-20 02:00:00,20-07-2020 02:10,Thane,141,VEHICLE - STOLEN,22,M,Explosives,Violent Crime,14,No,,2020,7,
4828,,2020-07-20 03:00:00,21-07-2020 01:55,Pune,456,VEHICLE - STOLEN,78,F,Blunt Object,Violent Crime,12,No,,2020,7,
4829,,2020-07-20 04:00:00,20-07-2020 23:51,Mumbai,194,BURGLARY,67,M,Blunt Object,Other Crime,4,No,,2020,7,
4830,,2020-07-20 05:00:00,20-07-2020 23:28,Ahmedabad,144,IDENTITY THEFT,29,F,Firearm,Violent Crime,15,Yes,2020-09-01 15:00:00,2020,7,
4831,,2020-07-20 06:00:00,20-07-2020 15:22,Ahmedabad,540,BURGLARY,10,F,Other,Other Crime,16,Yes,2020-11-25 03:00:00,2020,7,
4832,,2020-07-20 07:00:00,20-07-2020 17:12,Delhi,379,SHOPLIFTING,34,F,Knife,Other Crime,4,Yes,2020-09-04 15:00:00,2020,7,
4833,,2020-07-20 08:00:00,20-07-2020 22:51,Meerut,212,SHOPLIFTING,14,F,Firearm,Other Crime,3,Yes,2020-09-05 01:00:00,2020,7,
4834,,2020-07-20 09:00:00,21-07-2020 00:15,Srinagar,202,TRAFFIC VIOLATION,26,F,Explosives,Traffic Fatality,16,No,,2020,7,
4835,,2020-07-20 10:00:00,21-07-2020 09:33,Ahmedabad,112,DOMESTIC VIOLENCE,40,M,Firearm,Violent Crime,10,Yes,2020-07-31 04:00:00,2020,7,
4836,,2020-07-20 11:00:00,21-07-2020 10:16,Meerut,371,FRAUD,75,M,Knife,Other Crime,4,Yes,2020-08-07 13:00:00,2020,7,
4837,,2020-07-20 12:00:00,21-07-2020 01:21,Surat,465,SHOPLIFTING,43,F,Explosives,Other Crime,15,Yes,2020-09-12 08:00:00,2020,7,
